GEO.id,GEO.id2,GEO.display-label,respop72018
0500000US05125,05125,"Saline County, Arkansas",121421
0500000US05127,05127,"Scott County, Arkansas",10319
0500000US05129,05129,"Searcy County, Arkansas",7958
0500000US05131,05131,"Sebastian County, Arkansas",127753
0500000US05133,05133,"Sevier County, Arkansas",17139
0500000US05135,05135,"Sharp County, Arkansas",17366
0500000US05137,05137,"Stone County, Arkansas",12457
0500000US05139,05139,"Union County, Arkansas",39126
0500000US05141,05141,"Van Buren County, Arkansas",16603
0500000US05143,05143,"Washington County, Arkansas",236961
0500000US05145,05145,"White County, Arkansas",78727
0500000US05147,05147,"Woodruff County, Arkansas",6490
0500000US05149,05149,"Yell County, Arkansas",21535
0500000US06001,06001,"Alameda County, California",1666753
0500000US06003,06003,"Alpine County, California",1101
0500000US06005,06005,"Amador County, California",39383
0500000US06007,06007,"Butte County, California",231256
0500000US06009,06009,"Calaveras County, California",45602
0500000US06011,06011,"Colusa County, California",21627
0500000US06013,06013,"Contra Costa County, California",1150215
0500000US06015,06015,"Del Norte County, California",27828
0500000US06017,06017,"El Dorado County, California",190678
0500000US06019,06019,"Fresno County, California",994400
0500000US06021,06021,"Glenn County, California",28047
0500000US06023,06023,"Humboldt County, California",136373
0500000US06025,06025,"Imperial County, California",181827
0500000US06027,06027,"Inyo County, California",17987
0500000US06029,06029,"Kern County, California",896764
0500000US06031,06031,"Kings County, California",151366
0500000US06033,06033,"Lake County, California",64382
0500000US06035,06035,"Lassen County, California",30802
0500000US06037,06037,"Los Angeles County, California",10105518
0500000US06039,06039,"Madera County, California",157672
0500000US06041,06041,"Marin County, California",259666
0500000US06043,06043,"Mariposa County, California",17471
0500000US06045,06045,"Mendocino County, California",87606
0500000US06047,06047,"Merced County, California",274765
0500000US06049,06049,"Modoc County, California",8777
0500000US06051,06051,"Mono County, California",14250
0500000US06053,06053,"Monterey County, California",435594
0500000US06055,06055,"Napa County, California",139417
0500000US06057,06057,"Nevada County, California",99696
0500000US06059,06059,"Orange County, California",3185968
0500000US06061,06061,"Placer County, California",393149
0500000US06063,06063,"Plumas County, California",18804
0500000US06065,06065,"Riverside County, California",2450758
0500000US06067,06067,"Sacramento County, California",1540975
0500000US06069,06069,"San Benito County, California",61537
0500000US06071,06071,"San Bernardino County, California",2171603
0500000US06073,06073,"San Diego County, California",3343364
0500000US06075,06075,"San Francisco County, California",883305
0500000US06077,06077,"San Joaquin County, California",752660
0500000US06079,06079,"San Luis Obispo County, California",284010
0500000US06081,06081,"San Mateo County, California",769545
0500000US06083,06083,"Santa Barbara County, California",446527
0500000US06085,06085,"Santa Clara County, California",1937570
0500000US06087,06087,"Santa Cruz County, California",274255
0500000US06089,06089,"Shasta County, California",180040
0500000US06091,06091,"Sierra County, California",2987
0500000US06093,06093,"Siskiyou County, California",43724
0500000US06095,06095,"Solano County, California",446610
0500000US06097,06097,"Sonoma County, California",499942
